type,name,carbohydrates,proteins,fats,fiber,water,A,B1,B2,B3,C
Nuts,Acorn,40.8,6.2,23.9,-,27.9,39,0.11,0.12,1.8,0
Nuts,Almond,21.7,21.2,49.2,12.2,4.7,1,0.21,1.01,3.39,0
Nuts,Brazil,12.3,14.3,66.4,7.5,3.5,0,0.62,0.04,0.3,0.7
Nuts,Cashew,30.2,18.2,43.9,3.3,5.2,0,0.42,0.06,1.06,0.5
Nuts,Fresh,44.2,1.6,1.3,-,52,26,0.14,0.02,1.1,40.2
Nuts,Dried,77.3,6.4,4.5,11.7,9.5,0,0.3,0.36,0.85,15
Nuts,Coconut,15.2,3.3,33.5,9,47,0,0.07,0.2,0.54,3.3
Nuts,Hazelnut,16.7,15,60.8,9.7,5.3,20,0.64,0.11,1.8,6.3
Nuts,Macadamia,13.8,7.9,75.8,8.6,1.4,0,1.2,0.16,2.47,1.2
Nuts,Peanut,16.1,25.8,49.2,8.5,6.5,0,0.64,0.14,12.07,0
Nuts,Butter,21.6,24.1,50,8,1.1,0,0.11,0.11,13.7,0
Nuts,Pecan,13.9,9.1,71.8,9.6,3.5,56,0.66,0.13,1.17,1.1
Nuts,Pine,13.1,13.7,68.4,3.7,2.3,29,0.36,0.23,4.39,0.8
Nuts,Pistachio,27.5,20.3,45.4,10.3,3.9,415,0.87,0.16,1.3,5.6
Nuts,Walnut,13.7,15.2,65.2,6.7,4.1,20,0.34,0.15,1.15,1.3
