fruit,carbohydrates,proteins,fats,fiber,water
Apple,13.8,0.3,0.2,2.4,85.6
Banana,22.8,1.1,0.3,2.6,74.9
Cantaloupe,8.2,0.8,0.2,0.9,90.2
Date,75.0,1.8,0.2,6.7,21.3
Elderberry,11.4,0.7,0.5,7.0,79.8
Fig,19.2,0.8,0.3,2.9,79.1
Guava,14.3,2.6,1.0,5.4,80.8
Honeydew,9.1,0.5,0.1,0.8,89.8
Kiwi,14.2,1.2,0.6,2.0,83.2
Lemon,9.3,1.1,0.3,2.8,89.0
Mango,15.0,0.8,0.4,1.6,83.5
Nectarine,10.6,1.1,0.3,1.7,87.6
Orange,11.5,0.7,0.2,2.4,87.1
Peach,9.5,0.9,0.3,1.5,88.9
Quince,15.3,0.4,0.1,1.9,83.8
Raspberry,11.9,1.2,0.7,6.5,85.7
Strawberry,7.7,0.7,0.3,2.0,91.0
Tangerine,13.3,0.8,0.3,1.8,85.2
Watermelon,7.6,0.6,0.2,0.4,91.5
